text,label
I need some help. Where can i find docs for the reporting feature. Hoping for a quick reply.,general_inquiry
Urgent: It wolud be great to have a dark mode.,feature_request
Urgent: The csv download comes out corrupted and won't open. This is blocking me.,technical
Quick question - There are two separate $80 charges from the same day. Sorry if this is the wrong channel.,billing
My subscription jumped to $19 without any notice. Thanks in advance.,billing
Quick question - Let us customise which columns show in the main table. Hoping for a quick reply.,feature_request
"Hey, An api webhook for new events would unblock our team. Regards.",feature_request
"Hey, Letu s customise which columns show in the main table. Please advise.",feature_request
"Hello, The app crashes whenever i upload a file over 10mb. Appreciate any help.",technical
"To whom it may concern, The csv download comes out corrupted and won't open. Hoping for a quick reply.",technical
Quick question - The promo code didn't apply so i paid the full $9.99. Thanks in advance.,billing
Urgent: I was billed $49.00 even though my card was declined. Thanks in advance.,billing
I need some help. Where can i find docs for the reporting feature. Thanks in advance.,general_inquiry
Urgent: My account got locked after a few failed attempts. Appreciate any help.,account_access
Quick question - Let us customise which columns show in the main table. Please advise.,feature_request
Following up: I was removed from my workspace by mistake. Thanks in advance.,account_access
"Hello, Notificatinos stopped firing after the latest release. Please advise.",technical
There are two separate $19 charges from the same day. Let me know.,billing
Urgent: Which plan is right for a team of about ten people. This is blocking me.,general_inquiry
Urgent: I need to change the email address on my account. Hoping for a quick reply.,technical
"Good morning, The analytics charts render completely blank in safari. Thanks in advance.",technical
I need some help. The $120 charge on my statement doesn't look right. Let me know.,billing
I keep getting a 500 error when i hit export on the dashboard. Thanks in advance.,technical
"Good morning, The promo code didn't apply so i paid the full $15.50. Let me know.",billing
"Good morning, The app crashes whenever i upload a file over 10mb. Hoping for a quick reply.",technical
"Good morning, The csv download comes out corrupted and won't open. Thanks in advance.",technical
"Hello, An integration with slack would be really sueful. Thanks in advance.",feature_request
Quick question - I keep getting a 500 error when i hit export on thed ashboard. Let me know.,technical
Following up: Could you support exporting to pdf and not just csv. Let me know.,feature_request
Quick question - Notifications stopped firing after the latest release. Regards.,general_inquiry
"To whom it may concern, I'm stuck in a redirect loop trying to sign in with sso. Let me know.",account_access
"Hey, Can you point me to a getting-started tutorial. Please advise.",general_inquiry
"Hey, The mobile app freezes on the login screen. Let me know.",technical
"Hello, Please confirm whether i'll be charged $19 again next cycle. Hoping for a quick reply.",billing
I need some hlep. How does your product compare to others i'm evaluating. Appreciate any help.,general_inquiry
A mobile widget for quick stats would hlep a lot. Thanks in advance.,feature_request
Quick question - Is there a free trial before i commit. Let me know.,general_inquiry
"Hi team, The promo code didn't apply so i paid the full $80. Hoping for a quick reply.",billing
"Hello, Sync has been broken since the update in april. Pelase advise.",technical
Quick question - The analytics charts render completely blank in safari. Regards.,billing
Urgent: The csv download comes out corrupted and won't open. Thanks in advance.,account_access
"Goo dmorning, Let us customise which columns show in the main table. Sorry if this is the wrong channel.",feature_request
I need some help. The promo code didn't apply so i paid the full $9.99. Let me know.,billing
"Good morning, Where can i find docs for the reporting feature.",general_inquiry
"Hey, Can you point me to a getting-started tutorial. Thanks in advance.",general_inquiry
Let us customise which columns show in the main table. Appreciate any help.,feature_request
"Hello, The analytics charts render completely blank in safari. Sorry if this is the wrong channel.",technical
"Hey, Please confirm whether i'll be charged $80 again next cycle. This is blocking me.",billing
"To whom it may concern, The csv download comes out corrupted and won't open. This is blocking me.",technical
Following up: I need to change the email address on my account. Thanks in advance.,account_access
